"","country","year","Energy Supply per capita"
"926","Micronesia (Fed. States of)","1994","15"
"927","Micronesia (Fed. States of)","1998","17"
"928","Micronesia (Fed. States of)","2002","19"
"929","Micronesia (Fed. States of)","2006","17"
"930","Micronesia (Fed. States of)","2010","15"
"931","Micronesia (Fed. States of)","2014","20"
"932","Mongolia","1990","53"
"933","Mongolia","1994","39"
"934","Mongolia","1998","37"
"935","Mongolia","2002","39"
"936","Mongolia","2006","44"
"937","Mongolia","2010","61"
"938","Mongolia","2014","117"
"939","Montenegro","1990","..."
"940","Montenegro","1994","..."
"941","Montenegro","1998","..."
"942","Montenegro","2002","..."
"943","Montenegro","2006","75"
"944","Montenegro","2010","77"
"945","Montenegro","2014","64"
"946","Montserrat","1990","41"
"947","Montserrat","1994","45"
"948","Montserrat","1998","64"
"949","Montserrat","2002","112"
"950","Montserrat","2006","91"
"951","Montserrat","2010","175"
"952","Montserrat","2014","133"
"953","Morocco","1990","14"
"954","Morocco","1994","16"
"955","Morocco","1998","16"
"956","Morocco","2002","17"
"957","Morocco","2006","21"
"958","Morocco","2010","23"
"959","Morocco","2014","22"
"960","Mozambique","1990","18"
"961","Mozambique","1994","17"
"962","Mozambique","1998","16"
"963","Mozambique","2002","17"
"964","Mozambique","2006","18"
"965","Mozambique","2010","13"
"966","Mozambique","2014","17"
"967","Myanmar","1990","11"
"968","Myanmar","1994","12"
"969","Myanmar","1998","12"
"970","Myanmar","2002","12"
"971","Myanmar","2006","14"
"972","Myanmar","2010","13"
"973","Myanmar","2014","14"
"974","Namibia","1990","..."
"975","Namibia","1994","22"
"976","Namibia","1998","24"
"977","Namibia","2002","22"
"978","Namibia","2006","25"
"979","Namibia","2010","30"
"980","Namibia","2014","32"
"981","Nauru","1990","188"
"982","Nauru","1994","154"
"983","Nauru","1998","135"
"984","Nauru","2002","105"
"985","Nauru","2006","59"
"986","Nauru","2010","58"
"987","Nauru","2014","63"
"988","Nepal","1990","8"
"989","Nepal","1994","12"
"990","Nepal","1998","14"
"991","Nepal","2002","14"
"992","Nepal","2006","14"
"993","Nepal","2010","16"
"994","Nepal","2014","19"
"995","Netherlands","1990","186"
"996","Netherlands","1994","191"
"997","Netherlands","1998","199"
"998","Netherlands","2002","201"
"999","Netherlands","2006","201"
"1000","Netherlands","2010","206"
"1001","Netherlands","2014","175"
"1002","New Caledonia","1990","126"
"1003","New Caledonia","1994","137"
"1004","New Caledonia","1998","124"
"1005","New Caledonia","2002","144"
"1006","New Caledonia","2006","151"
"1007","New Caledonia","2010","184"
"1008","New Caledonia","2014","240"
"1009","New Zealand","1990","165"
"1010","New Zealand","1994","176"
"1011","New Zealand","1998","184"
"1012","New Zealand","2002","190"
"1013","New Zealand","2006","180"
"1014","New Zealand","2010","192"
"1015","New Zealand","2014","204"
"1016","Nicaragua","1990","21"
"1017","Nicaragua","1994","21"
"1018","Nicaragua","1998","20"
"1019","Nicaragua","2002","21"
"1020","Nicaragua","2006","22"
"1021","Nicaragua","2010","22"
"1022","Nicaragua","2014","25"
"1023","Niger","1990","8"
"1024","Niger","1994","8"
"1025","Niger","1998","8"
"1026","Niger","2002","7"
"1027","Niger","2006","5"
"1028","Niger","2010","4"
"1029","Niger","2014","5"
"1030","Nigeria","1990","29"
"1031","Nigeria","1994","28"
"1032","Nigeria","1998","28"
"1033","Nigeria","2002","30"
"1034","Nigeria","2006","31"
"1035","Nigeria","2010","34"
"1036","Nigeria","2014","35"
"1037","Niue","1990","34"
"1038","Niue","1994","38"
"1039","Niue","1998","39"
"1040","Niue","2002","44"
"1041","Niue","2006","55"
"1042","Niue","2010","52"
"1043","Niue","2014","62"
"1044","North Macedonia","1990","..."
"1045","North Macedonia","1994","74"
"1046","North Macedonia","1998","87"
"1047","North Macedonia","2002","77"
"1048","North Macedonia","2006","78"
"1049","North Macedonia","2010","58"
"1050","North Macedonia","2014","58"
"1051","Norway","1990","206"
"1052","Norway","1994","220"
"1053","Norway","1998","235"
"1054","Norway","2002","228"
"1055","Norway","2006","242"
"1056","Norway","2010","257"
"1057","Norway","2014","233"
"1058","Oman","1990","82"
"1059","Oman","1994","106"
"1060","Oman","1998","106"
"1061","Oman","2002","162"
"1062","Oman","2006","231"
"1063","Oman","2010","256"
"1064","Oman","2014","256"
"1065","Pakistan","1990","12"
"1066","Pakistan","1994","14"
"1067","Pakistan","1998","14"
"1068","Pakistan","2002","15"
"1069","Pakistan","2006","17"
"1070","Pakistan","2010","17"
"1071","Pakistan","2014","18"
"1072","Palau","1990","..."
"1073","Palau","1994","163"
"1074","Palau","1998","151"
"1075","Palau","2002","152"
"1076","Palau","2006","157"
"1077","Palau","2010","161"
"1078","Palau","2014","174"
"1079","Panama","1990","25"
"1080","Panama","1994","30"
"1081","Panama","1998","37"
"1082","Panama","2002","34"
"1083","Panama","2006","40"
"1084","Panama","2010","39"
"1085","Panama","2014","43"
"1086","Papua New Guinea","1990","21"
"1087","Papua New Guinea","1994","20"
"1088","Papua New Guinea","1998","20"
"1089","Papua New Guinea","2002","19"
"1090","Papua New Guinea","2006","21"
"1091","Papua New Guinea","2010","20"
"1092","Papua New Guinea","2014","21"
"1093","Paraguay","1990","20"
"1094","Paraguay","1994","23"
"1095","Paraguay","1998","34"
"1096","Paraguay","2002","28"
"1097","Paraguay","2006","28"
"1098","Paraguay","2010","37"
"1099","Paraguay","2014","37"
"1100","Peru","1990","19"
"1101","Peru","1994","19"
"1102","Peru","1998","20"
"1103","Peru","2002","18"
"1104","Peru","2006","20"
"1105","Peru","2010","27"
"1106","Peru","2014","29"
"1107","Philippines","1990","17"
"1108","Philippines","1994","18"
"1109","Philippines","1998","19"
"1110","Philippines","2002","18"
"1111","Philippines","2006","16"
"1112","Philippines","2010","17"
"1113","Philippines","2014","19"
"1114","Poland","1990","115"
"1115","Poland","1994","107"
"1116","Poland","1998","106"
"1117","Poland","2002","99"
"1118","Poland","2006","108"
"1119","Poland","2010","111"
"1120","Poland","2014","104"
"1121","Portugal","1990","71"
"1122","Portugal","1994","76"
"1123","Portugal","1998","93"
"1124","Portugal","2002","104"
"1125","Portugal","2006","100"
"1126","Portugal","2010","92"
"1127","Portugal","2014","85"
"1128","Puerto Rico","1990","0"
"1129","Puerto Rico","1994","0"
"1130","Puerto Rico","1998","0"
"1131","Puerto Rico","2002","6"
"1132","Puerto Rico","2006","7"
"1133","Puerto Rico","2010","8"
"1134","Puerto Rico","2014","16"
"1135","Qatar","1990","420"
"1136","Qatar","1994","1088"
"1137","Qatar","1998","973"
"1138","Qatar","2002","1062"
"1139","Qatar","2006","933"
"1140","Qatar","2010","655"
"1141","Qatar","2014","767"
"1142","Republic of Moldova","1990","..."
"1143","Republic of Moldova","1994","42"
"1144","Republic of Moldova","1998","26"
"1145","Republic of Moldova","2002","19"
"1146","Republic of Moldova","2006","24"
"1147","Republic of Moldova","2010","20"
"1148","Republic of Moldova","2014","25"
"1149","Romania","1990","113"
"1150","Romania","1994","78"
"1151","Romania","1998","75"
"1152","Romania","2002","72"
"1153","Romania","2006","78"
"1154","Romania","2010","72"
"1155","Romania","2014","66"
"1156"," Russian Federation","1990","..."
"1157"," Russian Federation","1994","185"
"1158"," Russian Federation","1998","167"
"1159"," Russian Federation","2002","180"
"1160"," Russian Federation","2006","196"
"1161"," Russian Federation","2010","202"
"1162"," Russian Federation","2014","212"
"1163","Rwanda","1990","5"
"1164","Rwanda","1994","5"
"1165","Rwanda","1998","11"
"1166","Rwanda","2002","6"
"1167","Rwanda","2006","8"
"1168","Rwanda","2010","8"
"1169","Rwanda","2014","8"
"1170","Samoa","1990","16"
"1171","Samoa","1994","16"
"1172","Samoa","1998","17"
"1173","Samoa","2002","19"
"1174","Samoa","2006","20"
"1175","Samoa","2010","21"
"1176","Samoa","2014","21"
"1177","Sao Tome and Principe","1990","12"
"1178","Sao Tome and Principe","1994","12"
"1179","Sao Tome and Principe","1998","12"
"1180","Sao Tome and Principe","2002","12"
"1181","Sao Tome and Principe","2006","14"
"1182","Sao Tome and Principe","2010","14"
"1183","Sao Tome and Principe","2014","13"
"1184","Saudi Arabia","1990","178"
"1185","Saudi Arabia","1994","264"
"1186","Saudi Arabia","1998","169"
"1187","Saudi Arabia","2002","236"
"1188","Saudi Arabia","2006","265"
"1189","Saudi Arabia","2010","281"
"1190","Saudi Arabia","2014","288"
"1191","Senegal","1990","11"
"1192","Senegal","1994","11"
"1193","Senegal","1998","10"
"1194","Senegal","2002","10"
"1195","Senegal","2006","9"
"1196","Senegal","2010","13"
"1197","Senegal","2014","12"
"1198","Serbia","1990","..."
"1199","Serbia","1994","..."
"1200","Serbia","1998","..."
"1201","Serbia","2002","..."
"1202","Serbia","2006","88"
"1203","Serbia","2010","89"
"1204","Serbia","2014","78"
"1205","Seychelles","1990","31"
"1206","Seychelles","1994","40"
"1207","Seychelles","1998","80"
"1208","Seychelles","2002","94"
"1209","Seychelles","2006","122"
"1210","Seychelles","2010","67"
"1211","Seychelles","2014","73"
"1212","Sierra Leone","1990","13"
"1213","Sierra Leone","1994","12"
"1214","Sierra Leone","1998","13"
"1215","Sierra Leone","2002","13"
"1216","Sierra Leone","2006","11"
"1217","Sierra Leone","2010","9"
"1218","Sierra Leone","2014","10"
"1219","Singapore","1990","218"
"1220","Singapore","1994","264"
"1221","Singapore","1998","208"
"1222","Singapore","2002","209"
"1223","Singapore","2006","226"
"1224","Singapore","2010","213"
"1225","Singapore","2014","207"
"1226","Sint Maarten (Dutch part)","1990","..."
"1227","Sint Maarten (Dutch part)","1994","..."
"1228","Sint Maarten (Dutch part)","1998","..."
"1229","Sint Maarten (Dutch part)","2002","..."
"1230","Sint Maarten (Dutch part)","2006","..."
"1231","Sint Maarten (Dutch part)","2010","..."
"1232","Sint Maarten (Dutch part)","2014","303"
"1233","Slovakia","1990","..."
"1234","Slovakia","1994","136"
"1235","Slovakia","1998","136"
"1236","Slovakia","2002","143"
"1237","Slovakia","2006","142"
"1238","Slovakia","2010","136"
"1239","Slovakia","2014","121"
"1240","Slovenia","1990","..."
"1241","Slovenia","1994","120"
"1242","Slovenia","1998","137"
"1243","Slovenia","2002","144"
"1244","Slovenia","2006","153"
"1245","Slovenia","2010","150"
"1246","Slovenia","2014","135"
"1247","Solomon Islands","1990","17"
"1248","Solomon Islands","1994","17"
"1249","Solomon Islands","1998","16"
"1250","Solomon Islands","2002","16"
"1251","Solomon Islands","2006","15"
"1252","Solomon Islands","2010","15"
"1253","Solomon Islands","2014","14"
"1254","Somalia","1990","10"
"1255","Somalia","1994","12"
"1256","Somalia","1998","12"
"1257","Somalia","2002","12"
"1258","Somalia","2006","13"
"1259","Somalia","2010","10"
"1260","Somalia","2014","10"
"1261","South Africa","1990","114"
"1262","South Africa","1994","110"
"1263","South Africa","1998","116"
"1264","South Africa","2002","100"
"1265","South Africa","2006","115"
"1266","South Africa","2010","114"
"1267","South Africa","2014","112"
"1268","S. Sudan","1990","..."
"1269","S. Sudan","1994","..."
"1270","S. Sudan","1998","..."
"1271","S. Sudan","2002","..."
"1272","S. Sudan","2006","..."
"1273","S. Sudan","2010","..."
"1274","S. Sudan","2014","3"
"1275","Spain","1990","97"
"1276","Spain","1994","102"
"1277","Spain","1998","117"
"1278","Spain","2002","130"
"1279","Spain","2006","135"
"1280","Spain","2010","114"
"1281","Spain","2014","102"
"1282","Sri Lanka","1990","11"
"1283","Sri Lanka","1994","12"
"1284","Sri Lanka","1998","14"
"1285","Sri Lanka","2002","16"
"1286","Sri Lanka","2006","16"
"1287","Sri Lanka","2010","18"
"1288","Sri Lanka","2014","20"
"1289","St. Helena and Depend.","1990","17"
"1290","St. Helena and Depend.","1994","33"
"1291","St. Helena and Depend.","1998","34"
"1292","St. Helena and Depend.","2002","39"
"1293","St. Helena and Depend.","2006","31"
"1294","St. Helena and Depend.","2010","30"
"1295","St. Helena and Depend.","2014","27"
"1296","St. Kitts-Nevis","1990","53"
"1297","St. Kitts-Nevis","1994","59"
"1298","St. Kitts-Nevis","1998","60"
"1299","St. Kitts-Nevis","2002","69"
"1300","St. Kitts-Nevis","2006","58"
"1301","St. Kitts-Nevis","2010","62"
"1302","St. Kitts-Nevis","2014","61"
"1303","St. Lucia","1990","18"
"1304","St. Lucia","1994","26"
"1305","St. Lucia","1998","28"
"1306","St. Lucia","2002","26"
"1307","St. Lucia","2006","33"
"1308","St. Lucia","2010","31"
"1309","St. Lucia","2014","29"
"1310","St. Pierre-Miquelon","1990","206"
"1311","St. Pierre-Miquelon","1994","164"
"1312","St. Pierre-Miquelon","1998","124"
"1313","St. Pierre-Miquelon","2002","132"
"1314","St. Pierre-Miquelon","2006","150"
"1315","St. Pierre-Miquelon","2010","160"
"1316","St. Pierre-Miquelon","2014","172"
"1317","St. Vincent-Grenadines","1990","12"
"1318","St. Vincent-Grenadines","1994","18"
"1319","St. Vincent-Grenadines","1998","23"
"1320","St. Vincent-Grenadines","2002","27"
"1321","St. Vincent-Grenadines","2006","30"
"1322","St. Vincent-Grenadines","2010","31"
"1323","St. Vincent-Grenadines","2014","37"
"1324","State of Palestine","1990","..."
"1325","State of Palestine","1994","9"
"1326","State of Palestine","1998","11"
"1327","State of Palestine","2002","10"
"1328","State of Palestine","2006","14"
"1329","State of Palestine","2010","13"
"1330","State of Palestine","2014","15"
"1331","Sudan","1990","..."
"1332","Sudan","1994","..."
"1333","Sudan","1998","..."
"1334","Sudan","2002","..."
"1335","Sudan","2006","..."
"1336","Sudan","2010","..."
"1337","Sudan","2014","12"
"1338","Suriname","1990","72"
"1339","Suriname","1994","78"
"1340","Suriname","1998","77"
"1341","Suriname","2002","56"
"1342","Suriname","2006","58"
"1343","Suriname","2010","76"
"1344","Suriname","2014","81"
"1345","Sweden","1990","230"
"1346","Sweden","1994","234"
"1347","Sweden","1998","239"
"1348","Sweden","2002","241"
"1349","Sweden","2006","228"
"1350","Sweden","2010","225"
"1351","Sweden","2014","206"
"1352","Switzerland","1990","151"
"1353","Switzerland","1994","145"
"1354","Switzerland","1998","147"
"1355","Switzerland","2002","147"
"1356","Switzerland","2006","149"
"1357","Switzerland","2010","137"
"1358","Switzerland","2014","125"
"1359","Syria","1990","39"
"1360","Syria","1994","41"
"1361","Syria","1998","47"
"1362","Syria","2002","35"
"1363","Syria","2006","42"
"1364","Syria","2010","43"
"1365","Syria","2014","24"
"1366","Tajikistan","1990","..."
"1367","Tajikistan","1994","26"
"1368","Tajikistan","1998","24"
"1369","Tajikistan","2002","22"
"1370","Tajikistan","2006","23"
"1371","Tajikistan","2010","19"
"1372","Tajikistan","2014","19"
"1373","Thailand","1990","31"
"1374","Thailand","1994","40"
"1375","Thailand","1998","45"
"1376","Thailand","2002","53"
"1377","Thailand","2006","61"
"1378","Thailand","2010","74"
"1379","Thailand","2014","83"
"1380","Timor-Leste","1990","..."
"1381","Timor-Leste","1994","..."
"1382","Timor-Leste","1998","..."
"1383","Timor-Leste","2002","4"
"1384","Timor-Leste","2006","4"
"1385","Timor-Leste","2010","4"
"1386","Timor-Leste","2014","7"
"1387","Togo","1990","15"
"1388","Togo","1994","17"
"1389","Togo","1998","18"
"1390","Togo","2002","18"
"1391","Togo","2006","18"
"1392","Togo","2010","20"
"1393","Togo","2014","19"
"1394","Tonga","1990","12"
"1395","Tonga","1994","13"
"1396","Tonga","1998","14"
"1397","Tonga","2002","14"
"1398","Tonga","2006","19"
"1399","Tonga","2010","16"
"1400","Tonga","2014","15"
"1401","Trinidad and Tobago","1990","206"
"1402","Trinidad and Tobago","1994","207"
"1403","Trinidad and Tobago","1998","269"
"1404","Trinidad and Tobago","2002","387"
"1405","Trinidad and Tobago","2006","572"
"1406","Trinidad and Tobago","2010","627"
"1407","Trinidad and Tobago","2014","609"
"1408","Tunisia","1990","23"
"1409","Tunisia","1994","26"
"1410","Tunisia","1998","28"
"1411","Tunisia","2002","33"
"1412","Tunisia","2006","36"
"1413","Tunisia","2010","40"
"1414","Tunisia","2014","39"
"1415","Turkey","1990","41"
"1416","Turkey","1994","41"
"1417","Turkey","1998","49"
"1418","Turkey","2002","48"
"1419","Turkey","2006","56"
"1420","Turkey","2010","61"
"1421","Turkey","2014","66"
"1422","Turkmenistan","1990","..."
"1423","Turkmenistan","1994","136"
"1424","Turkmenistan","1998","120"
"1425","Turkmenistan","2002","144"
"1426","Turkmenistan","2006","172"
"1427","Turkmenistan","2010","187"
"1428","Turkmenistan","2014","205"
"1429","Turks and Caicos Islands","1990","34"
"1430","Turks and Caicos Islands","1994","41"
"1431","Turks and Caicos Islands","1998","48"
"1432","Turks and Caicos Islands","2002","60"
"1433","Turks and Caicos Islands","2006","61"
"1434","Turks and Caicos Islands","2010","84"
"1435","Turks and Caicos Islands","2014","83"
"1436","Tuvalu","1990","8"
"1437","Tuvalu","1994","9"
"1438","Tuvalu","1998","10"
"1439","Tuvalu","2002","12"
"1440","Tuvalu","2006","10"
"1441","Tuvalu","2010","12"
"1442","Tuvalu","2014","12"
"1443","Uganda","1990","16"
"1444","Uganda","1994","15"
"1445","Uganda","1998","13"
"1446","Uganda","2002","14"
"1447","Uganda","2006","15"
"1448","Uganda","2010","15"
"1449","Uganda","2014","16"
"1450","Ukraine","1990","..."
"1451","Ukraine","1994","137"
"1452","Ukraine","1998","113"
"1453","Ukraine","2002","116"
"1454","Ukraine","2006","121"
"1455","Ukraine","2010","120"
"1456","Ukraine","2014","99"
"1457","United Arab Emirates","1990","437"
"1458","United Arab Emirates","1994","508"
"1459","United Arab Emirates","1998","459"
"1460","United Arab Emirates","2002","426"
"1461","United Arab Emirates","2006","419"
"1462","United Arab Emirates","2010","319"
"1463","United Arab Emirates","2014","393"
"1464","United Kingdom","1990","151"
"1465","United Kingdom","1994","156"
"1466","United Kingdom","1998","158"
"1467","United Kingdom","2002","154"
"1468","United Kingdom","2006","151"
"1469","United Kingdom","2010","134"
"1470","United Kingdom","2014","116"
"1471","Tanzania","1990","13"
"1472","Tanzania","1994","16"
"1473","Tanzania","1998","16"
"1474","Tanzania","2002","17"
"1475","Tanzania","2006","17"
"1476","Tanzania","2010","16"
"1477","Tanzania","2014","15"
"1478","United States","1990","317"
"1479","United States","1994","325"
"1480","United States","1998","327"
"1481","United States","2002","328"
"1482","United States","2006","322"
"1483","United States","2010","301"
"1484","United States","2014","291"
"1485","Uruguay","1990","31"
"1486","Uruguay","1994","32"
"1487","Uruguay","1998","38"
"1488","Uruguay","2002","32"
"1489","Uruguay","2006","41"
"1490","Uruguay","2010","51"
"1491","Uruguay","2014","58"
"1492","Uzbekistan","1990","..."
"1493","Uzbekistan","1994","83"
"1494","Uzbekistan","1998","86"
"1495","Uzbekistan","2002","88"
"1496","Uzbekistan","2006","80"
"1497","Uzbekistan","2010","63"
"1498","Uzbekistan","2014","58"
"1499","Vanuatu","1990","8"
"1500","Vanuatu","1994","8"
"1501","Vanuatu","1998","11"
"1502","Vanuatu","2002","10"
"1503","Vanuatu","2006","7"
"1504","Vanuatu","2010","11"
"1505","Vanuatu","2014","12"
"1506","Venezuela","1990","99"
"1507","Venezuela","1994","96"
"1508","Venezuela","1998","128"
"1509","Venezuela","2002","125"
"1510","Venezuela","2006","103"
"1511","Venezuela","2010","106"
"1512","Venezuela","2014","89"
"1513","Vietnam","1990","12"
"1514","Vietnam","1994","12"
"1515","Vietnam","1998","15"
"1516","Vietnam","2002","18"
"1517","Vietnam","2006","22"
"1518","Vietnam","2010","26"
"1519","Vietnam","2014","30"
"1520","Wallis and Futuna Is.","1990","..."
"1521","Wallis and Futuna Is.","1994","..."
"1522","Wallis and Futuna Is.","1998","..."
"1523","Wallis and Futuna Is.","2002","25"
"1524","Wallis and Futuna Is.","2006","26"
"1525","Wallis and Futuna Is.","2010","27"
"1526","Wallis and Futuna Is.","2014","28"
"1527","Yemen","1990","..."
"1528","Yemen","1994","9"
"1529","Yemen","1998","10"
"1530","Yemen","2002","11"
"1531","Yemen","2006","14"
"1532","Yemen","2010","14"
"1533","Yemen","2014","13"
"1534","Zambia","1990","28"
"1535","Zambia","1994","28"
"1536","Zambia","1998","26"
"1537","Zambia","2002","26"
"1538","Zambia","2006","27"
"1539","Zambia","2010","25"
"1540","Zambia","2014","27"
"1541","Zimbabwe","1990","39"
"1542","Zimbabwe","1994","39"
"1543","Zimbabwe","1998","35"
"1544","Zimbabwe","2002","33"
"1545","Zimbabwe","2006","33"
"1546","Zimbabwe","2010","31"
"1547","Zimbabwe","2014","34"
