"","country","year","Energy Supply per capita"
"411","Dominican Republic","2006","29"
"412","Dominican Republic","2010","30"
"413","Dominican Republic","2014","29"
"414","Ecuador","1990","25"
"415","Ecuador","1994","20"
"416","Ecuador","1998","29"
"417","Ecuador","2002","30"
"418","Ecuador","2006","33"
"419","Ecuador","2010","35"
"420","Ecuador","2014","40"
"421","Egypt","1990","22"
"422","Egypt","1994","23"
"423","Egypt","1998","30"
"424","Egypt","2002","30"
"425","Egypt","2006","38"
"426","Egypt","2010","39"
"427","Egypt","2014","38"
"428","El Salvador","1990","17"
"429","El Salvador","1994","21"
"430","El Salvador","1998","26"
"431","El Salvador","2002","24"
"432","El Salvador","2006","28"
"433","El Salvador","2010","29"
"434","El Salvador","2014","27"
"435","Equatorial Guinea","1990","13"
"436","Equatorial Guinea","1994","12"
"437","Equatorial Guinea","1998","15"
"438","Equatorial Guinea","2002","60"
"439","Equatorial Guinea","2006","125"
"440","Equatorial Guinea","2010","86"
"441","Equatorial Guinea","2014","67"
"442","Eritrea","1990","..."
"443","Eritrea","1994","12"
"444","Eritrea","1998","8"
"445","Eritrea","2002","8"
"446","Eritrea","2006","6"
"447","Eritrea","2010","10"
"448","Eritrea","2014","10"
"449","Estonia","1990","..."
"450","Estonia","1994","158"
"451","Estonia","1998","154"
"452","Estonia","2002","147"
"453","Estonia","2006","160"
"454","Estonia","2010","179"
"455","Estonia","2014","186"
"456","Eswatini","1990","37"
"457","Eswatini","1994","35"
"458","Eswatini","1998","38"
"459","Eswatini","2002","37"
"460","Eswatini","2006","41"
"461","Eswatini","2010","41"
"462","Eswatini","2014","44"
"463","Ethiopia","1990","..."
"464","Ethiopia","1994","16"
"465","Ethiopia","1998","16"
"466","Ethiopia","2002","16"
"467","Ethiopia","2006","16"
"468","Ethiopia","2010","15"
"469","Ethiopia","2014","15"
"470","Faeroe Islands","1990","217"
"471","Faeroe Islands","1994","190"
"472","Faeroe Islands","1998","203"
"473","Faeroe Islands","2002","225"
"474","Faeroe Islands","2006","203"
"475","Faeroe Islands","2010","184"
"476","Faeroe Islands","2014","180"
"477","Falkland Is. (Malvinas)","1990","271"
"478","Falkland Is. (Malvinas)","1994","231"
"479","Falkland Is. (Malvinas)","1998","187"
"480","Falkland Is. (Malvinas)","2002","204"
