Country,Country code,Continent,Region,MPW Scenario A 2020 (kg y-1),MPW Scenario A 2040 (kg y-1),MPW Scenario A 2060 (kg y-1),MPW Scenario B 2020 (kg y-1),MPW Scenario B 2040 (kg y-1),MPW Scenario B 2060 (kg y-1),MPW Scenario C 2020 (kg y-1),MPW Scenario C 2040 (kg y-1),MPW Scenario C 2060 (kg y-1),,,,
Finland,246,Europe,Northern Europe,5.64E+06,6.50E+06,7.14E+06,5.64E+06,6.50E+06,7.14E+06,2.58E+06,1.49E+06,1.64E+06,,,,
France,250,Europe,Western Europe,5.98E+07,7.08E+07,7.86E+07,5.98E+07,7.08E+07,7.86E+07,2.99E+07,1.97E+07,2.18E+07,,,,
Gabon,266,Africa,Middle Africa,1.20E+07,2.81E+07,4.90E+07,7.42E+06,1.28E+06,2.24E+06,3.34E+06,9.56E+04,1.22E+05,,,,
Gambia,270,Africa,Western Africa,4.35E+07,8.96E+07,1.52E+08,4.30E+07,8.31E+07,1.28E+08,2.92E+07,1.56E+07,1.46E+07,,,,
Georgia,268,Asia,Western Asia,6.56E+05,7.50E+05,7.70E+05,6.56E+05,7.50E+05,7.70E+05,2.74E+05,6.42E+05,1.12E+06,,,,
Germany,276,Europe,Western Europe,1.05E+08,1.09E+08,1.10E+08,1.05E+08,1.09E+08,1.10E+08,4.83E+07,2.51E+07,2.52E+07,,,,
Ghana,288,Africa,Western Africa,6.64E+08,1.17E+09,1.79E+09,6.32E+08,8.88E+08,8.85E+08,5.74E+08,4.02E+08,3.97E+08,,,,
Greece,300,Europe,Southern Europe,9.64E+06,1.02E+07,9.76E+06,9.64E+06,1.02E+07,9.76E+06,4.82E+06,2.83E+06,2.71E+06,,,,
Grenada,308,Latin America and Caribbean,Caribbean,1.78E+06,2.30E+06,2.56E+06,1.47E+06,7.70E+04,8.54E+04,1.14E+06,1.50E+04,1.67E+04,,,,
Guatemala,320,Latin America and Caribbean,Central America,3.85E+08,6.88E+08,1.02E+09,3.64E+08,4.06E+08,1.17E+08,2.78E+08,1.54E+08,4.11E+07,,,,
Guinea,324,Africa,Western Africa,1.82E+08,3.66E+08,6.23E+08,1.80E+08,3.45E+08,5.49E+08,1.63E+08,1.55E+08,2.46E+08,,,,
Guinea-Bissau,624,Africa,Western Africa,2.62E+07,4.90E+07,7.79E+07,2.58E+07,4.55E+07,6.59E+07,2.35E+07,2.06E+07,2.98E+07,,,,
Guyana,328,Latin America and Caribbean,South America,3.35E+07,3.91E+07,4.06E+07,3.03E+07,1.95E+07,1.03E+06,2.97E+07,9.45E+06,2.54E+05,,,,
Haiti,332,Latin America and Caribbean,Caribbean,2.71E+08,3.69E+08,4.40E+08,2.68E+08,3.40E+08,3.66E+08,2.43E+08,1.54E+08,1.66E+08,,,,
Honduras,340,Latin America and Caribbean,Central America,1.76E+08,2.72E+08,3.53E+08,1.68E+08,2.00E+08,1.55E+08,1.53E+08,9.06E+07,6.95E+07,,,,
Hungary,348,Europe,Eastern Europe,5.25E+08,5.59E+08,5.77E+08,4.06E+08,5.38E+07,1.28E+07,2.36E+08,1.42E+07,1.89E+06,,,,
Iceland,352,Europe,Northern Europe,3.48E+05,4.54E+05,5.38E+05,3.48E+05,4.54E+05,5.38E+05,1.02E+05,6.69E+04,7.91E+04,,,,
India,356,Asia,Southern Asia,1.85E+10,3.29E+10,4.68E+10,1.64E+10,1.10E+10,1.10E+09,1.63E+10,5.91E+09,3.06E+08,,,,
Indonesia,360,Asia,South-Eastern Asia,1.96E+09,3.05E+09,4.05E+09,9.85E+08,2.44E+08,3.24E+08,7.16E+08,4.54E+07,6.00E+07,,,,
Iran (Islamic Republic of),364,Asia,Southern Asia,8.78E+08,1.34E+09,1.65E+09,5.90E+08,5.68E+07,6.98E+07,5.28E+08,1.29E+07,1.59E+07,,,,
Iraq,368,Asia,Western Asia,6.74E+08,1.37E+09,2.40E+09,5.93E+08,5.24E+07,9.18E+07,5.36E+08,1.20E+07,2.10E+07,,,,
Ireland,372,Europe,Northern Europe,6.06E+06,7.54E+06,8.40E+06,6.06E+06,7.54E+06,8.40E+06,2.73E+06,1.70E+06,1.89E+06,,,,
Israel,376,Asia,Western Asia,1.36E+07,1.92E+07,2.52E+07,1.36E+07,1.92E+07,2.52E+07,5.24E+06,3.69E+06,4.86E+06,,,,
Italy,380,Europe,Southern Europe,8.12E+07,8.76E+07,9.08E+07,8.12E+07,8.76E+07,9.08E+07,2.78E+07,1.50E+07,1.55E+07,,,,
Jamaica,388,Latin America and Caribbean,Caribbean,5.79E+07,7.29E+07,7.91E+07,5.41E+07,4.01E+07,3.03E+06,4.91E+07,1.80E+07,1.03E+06,,,,
Japan,392,Asia,Eastern Asia,7.52E+07,7.94E+07,8.20E+07,7.52E+07,7.94E+07,8.20E+07,3.76E+07,1.98E+07,2.05E+07,,,,
Jordan,400,Asia,Western Asia,1.75E+08,2.72E+08,3.78E+08,1.41E+08,1.36E+07,1.89E+07,8.21E+07,2.00E+06,2.78E+06,,,,
Kazakhstan,900,Asia,Central Asia,8.46E+07,1.44E+08,2.05E+08,5.92E+07,1.22E+07,1.73E+07,5.36E+07,2.80E+06,3.97E+06,,,,
Kenya,404,Africa,Eastern Africa,3.98E+08,9.72E+08,1.78E+09,3.85E+08,7.98E+08,1.12E+09,3.17E+08,3.27E+08,4.59E+08,,,,
Kiribati,296,Oceania,Micronesia,2.39E+05,3.92E+05,5.72E+05,2.37E+05,3.65E+05,4.87E+05,2.16E+05,1.66E+05,2.21E+05,,,,
Kuwait,414,Asia,Western Asia,6.02E+06,9.10E+06,1.18E+07,6.02E+06,9.10E+06,1.18E+07,2.76E+06,2.09E+06,2.70E+06,,,,
Kyrgyzstan,417,Asia,Central Asia,1.16E+08,1.76E+08,2.32E+08,1.13E+08,1.46E+08,1.48E+08,1.03E+08,6.62E+07,6.69E+07,,,,
Lao People's Democratic Republic,418,Asia,South-Eastern Asia,1.79E+08,2.84E+08,3.77E+08,1.66E+08,1.91E+08,1.30E+08,1.65E+08,9.72E+07,6.51E+07,,,,
Latvia,428,Europe,Northern Europe,2.12E+06,2.48E+06,2.70E+06,2.12E+06,2.48E+06,2.70E+06,5.68E+05,3.35E+05,3.63E+05,,,,
Lebanon,422,Asia,Western Asia,7.95E+07,9.06E+07,1.07E+08,5.20E+07,6.04E+06,7.16E+06,3.94E+07,1.16E+06,1.38E+06,,,,
Lesotho,426,Africa,Southern Africa,3.72E+07,5.71E+07,7.99E+07,3.62E+07,4.82E+07,5.38E+07,3.29E+07,2.18E+07,2.43E+07,,,,
